0	1.73	0.0607	15.0944	-2.3944
0	1.731	0.06	15.3333	-4.7556
0	1.73	0.0607	21.3056	-0.7056
0	1.729	0.0607	21.8667	-0.6389
0	1.729	0.0607	21.2611	-0.1833
0	1.729	0.0607	18.8556	2.5778
0	1.73	0.06	19.35	3.3556
0	1.732	0.06	22.1667	7.9222
0	1.735	0.0607	22.5389	8.5833
0	1.738	0.0607	18.3056	8.1278
0	1.742	0.06	17.3667	6.9222
0	1.747	0.0607	18.2778	9.25
0	1.753	0.06	14.05	-1.1444
0	1.759	0.0586	13.6056	-7.7
0.03	1.766	0.0586	17.2333	-3.3278
0.02	1.774	0.06	13.5944	0.2667
0.09	1.782	0.0586	7.0889	-7.4667
0.29	1.791	0.0579	5.9444	-9.5056
2.24	1.801	0.0586	2.8389	-3.0333
1.22	1.811	0.06	7.3667	-1.8111
0	1.822	0.0607	17.6556	-3.0778
0.08	1.834	0.0607	22.7	-2.8222
0.03	1.847	0.0621	14.3056	-3.3333
0.1	1.86	0.0607	8.05	-8.8667
0.15	1.874	0.0607	4.4833	-3.9556
0.58	1.889	0.0607	0	-3.4556
0.19	1.904	0.06	-1.0778	-6.4444
0.52	1.92	0.0586	-4.1667	-10.1222
0.02	1.937	0.0586	3.5556	-8.5333
0	1.954	0.0586	11.0111	-9.2222
1.94	1.972	0.0586	16.2056	-7.1611
8.21	1.991	0.06	10.7889	-0.7389
4.94	2.01	0.065	7.7833	2.6611
1.2	2.03	0.0671	10.0333	3.6944
0.58	2.05	0.0686	15.9556	6.5444
1.67	2.071	0.07	15.2	9.2056
2.75	2.093	0.07	12.3667	3.9111
0.48	2.116	0.0714	14.2444	4.7389
2.34	2.139	0.0778	11.7833	-0.7056
0.38	2.162	0.0736	8.8222	-6.1778
0.13	2.186	0.0714	12.3278	-3.6833
0.06	2.211	0.07	17.3056	0.1833
0.15	2.237	0.0671	8.2056	-7.7333
0	2.263	0.065	10.6167	-6.3833
0	2.289	0.0621	16.7	-5.6222
0	2.316	0.0621	18.4278	-4.4167
0	2.344	0.0607	24.1778	3.0333
0	2.372	0.06	27.6167	1.7278
0	2.401	0.06	23.5444	11.4056
0.31	2.43	0.06	26.6056	13.6333
0.17	2.46	0.0607	20.5833	5.1
1.79	2.49	0.0636	11.6611	3.0111
0.38	2.52	0.0607	11.2444	-2.4722
1.67	2.552	0.06	14.4	2.5222
8.71	2.583	0.06	19.7333	9.7667
7.76	2.616	0.0621	21	15.2333
7.19	2.648	0.065	20.4778	15.5889
3.64	2.681	0.0878	22.1167	5.0667
0.99	2.715	0.1057	26.1833	5.6611
0.53	2.749	0.0957	23.2778	10.1111
1.8	2.783	0.085	24.5667	13.7722
0.92	2.818	0.0778	20.4111	6.5556
0.03	2.853	0.0721	18.7056	3.8611
0.03	2.889	0.0686	15.3833	6.0833
0.89	2.925	0.0657	9.0722	0.7333
0.18	2.961	0.0636	12.9056	0.1556
1.08	2.998	0.0621	19.1333	-0.3
3.33	3.035	0.0621	16.0278	5.4333
3.82	3.072	0.0621	18.5278	5.9556
0.01	3.11	0.0621	18.8833	3.2
0.3	3.148	0.0607	6.0778	-9.35
0	3.186	0.0657	7.6444	-9.0667
0	3.225	0.0686	14.9	-7.9944
0.05	3.264	0.0671	20.9	0.0167
0	3.303	0.065	24.1333	11.6833
0.1	3.343	0.0621	24.5611	10.8333
0.35	3.382	0.06	24.8667	7.4222
0.03	3.422	0.06	25.2944	13.65
0.02	3.462	0.0586	26.7222	12.5167
1.28	3.503	0.0586	27.1833	14.5278
5.25	3.543	0.0579	26.25	17.1333
1.72	3.584	0.0636	23.55	7
0.13	3.625	0.0607	27.9	1.9778
0.2	3.666	0.0579	28.0611	7.2889
1.25	3.707	0.0579	26.4611	15.2111
4.65	3.749	0.0579	27.0389	14.25
0	3.79	0.0564	22.9778	6.0722
0	3.832	0.055	21.8	5.3111
0	3.874	0.0621	23.6667	4.0444
0.15	3.915	0.065	28.9944	10.5111
1.48	3.957	0.0607	28.7667	13.6889
0.69	3.999	0.0586	23	4.1556
0.52	4.041	0.055	21.7278	1.6167
0	4.083	0.0543	23.1111	3.4556
0	4.125	0.0529	26.4222	9.2611
0	4.167	0.0529	29.3944	13.8778
0.02	4.21	0.0529	32.1778	17.1389
0.89	4.252	0.0529	34.2222	18.1889
1.3	4.294	0.0529	34.0333	18.1444
0.04	4.336	0.0521	30.9556	17.3056
0	4.378	0.0507	30.5278	18.4
2.06	4.42	0.05	33.5222	16.6833
6.1	4.462	0.05	33.7111	17.8111
15.93	4.503	0.0757	26.4611	11.4389
0	4.545	0.0821	26.4778	6.9167
0	4.587	0.0636	28.0389	4.2222
0	4.628	0.0836	30.1833	7.3056
1.51	4.67	0.0714	30.0611	10.1
0.2	4.711	0.0636	29.4556	11.55
0	4.752	0.0579	28.9722	14.5833
0	4.793	0.0529	30.3111	16.6833
2.35	4.833	0.0507	29.6833	15.0556
16.55	4.874	0.0479	27.6389	14.0944
4.97	4.914	0.05	27.3222	14.2944
0.82	4.954	0.0507	27.1389	16.9389
20.67	4.994	0.0621	27.1667	10.3667
0.47	5.034	0.1186	29.95	8.4778
0	5.073	0.1114	31.4222	9.7889
0	5.112	0.0893	31.4722	9.4667
0	5.151	0.0764	31.2611	11.7444
0	5.189	0.0686	30.8222	15.8278
0.12	5.228	0.0636	34.3167	18.1444
0.04	5.266	0.0586	34.6778	17.6833
0	5.303	0.0564	33.9667	19.2
0.03	5.341	0.0529	30.9444	15.8389
0.04	5.377	0.05	31.7667	17.1556
3.51	5.414	0.05	28.4556	15.7389
0.03	5.45	0.0464	28.0056	7.6778
0	5.486	0.0436	29.7889	13.9611
0.7	5.522	0.0436	30.35	19.6278
12.6	5.557	0.0436	31.0278	21.2444
23.48	5.591	0.08	26.5556	16.4
3.47	5.626	0.0679	23.6722	14.6111
0.03	5.659	0.0886	26.5889	15.4389
0.02	5.693	0.1078	29.4222	16.9722
0	5.726	0.0807	31.15	17.9056
0	5.758	0.07	32.6278	17.2611
0.05	5.79	0.0621	32.65	15.65
0.2	5.822	0.0564	32.1778	14.3056
0	5.853	0.0507	30.9056	15.0556
0	5.883	0.0464	31.1556	14.3278
0	5.913	0.0429	32.8278	15.1222
0.07	5.943	0.0407	33.0611	16.2278
0.75	5.972	0.04	32.8556	18.95
2.83	6.001	0.0379	30.9111	18.4556
9.76	6.029	0.0357	30.8833	18.1389
1.51	6.056	0.035	30.1722	16.9556
0.13	6.083	0.0636	28.5056	14.5
0.06	6.109	0.0429	30.2167	13.6167
0.03	6.135	0.0336	32.5389	17.5111
0.03	6.16	0.0314	33.0722	19.3167
0	6.185	0.0321	33.6	19.2
0	6.209	0.0314	33.1333	18.3556
0.02	6.232	0.0279	31.9111	14.2556
0.01	6.255	0.0257	32.8944	11.4444
0	6.277	0.0243	35.4667	14.8667
0.23	6.299	0.0229	37.7444	17.9611
0.09	6.32	0.0214	37.2167	18.9889
0	6.34	0.02	36.7056	19.2611
0.95	6.36	0.0171	37.3111	18.9944
3.27	6.379	0.0164	38.6444	21.5222
8.48	6.397	0.015	37.5167	19.3722
1.37	6.415	0.0171	34.8722	18.3
0.07	6.432	0.0236	35.5889	18.2
0	6.448	0.0164	36.4278	20.0389
0	6.464	0.0186	36.2167	20.6667
0	6.479	0.0157	36.3	19.6278
0	6.494	0.0143	36.1778	21.8333
0	6.507	0.0129	36.3833	21.8056
0	6.52	0.0143	37.35	22.3389
0	6.533	0.0136	37.3056	22.4167
0.1	6.544	0.0114	36.3833	22.3833
1.42	6.555	0.0107	35.25	23.2444
2.86	6.566	0.0114	35.3167	23.5389
41.57	6.575	0.0107	33.6722	23.15
22.05	6.584	1.957	29.0556	19.9389
11	6.592	0.4635	29.5167	20.75
4.46	6.599	0.1778	30.6944	20.2111
1.11	6.606	0.1686	32.1056	21.2611
2.82	6.612	0.1357	32.5833	20.9889
3.28	6.617	0.1721	31.4389	18.3167
4.12	6.622	0.0793	30.3611	18.1111
4.42	6.626	0.0607	29.1333	17.7444
4.42	6.629	0.0543	29.9167	18.1444
5.12	6.631	0.06	29.2611	19.9556
8.32	6.633	0.0679	30.3	21.2667
10.59	6.634	0.1078	30.5111	21.35
2.04	6.634	0.0764	31.3056	20.5444
0.49	6.634	0.0607	32.5056	18.5667
0.06	6.633	0.0821	33.7778	18.9222
5.61	6.631	0.07	34.5222	19.7222
10.97	6.628	0.06	34.2	20.65
7.37	6.625	0.0543	33.6444	20.0944
1.08	6.621	0.12	32.4278	20.4222
0.39	6.616	0.3457	32.8778	20.6444
0.03	6.61	0.1257	33.5278	20.3333
0	6.604	0.0657	34.0889	21.1556
0	6.597	0.0564	34.2389	19.9333
0.03	6.589	0.0507	33.9389	21.5
0	6.581	0.0457	34.0833	21.1833
0	6.572	0.0414	34	21.9278
0	6.562	0.0386	34.4333	22.1556
0	6.552	0.0371	34.4111	22.3833
0	6.54	0.0357	34.8	22.85
0	6.529	0.0343	34.9222	21.5333
0	6.516	0.0336	35.1278	21.5556
0	6.503	0.0314	36.0389	22.2056
0.07	6.489	0.0307	36.6222	22.3
0.03	6.474	0.0286	36.1667	23.0833
0	6.459	0.0271	36.0722	23.3
0	6.443	0.0264	36.0722	21.7333
0	6.426	0.0257	36.0444	21.3167
4.61	6.409	0.0243	36.8056	21.2944
